/ d 755 4096 0 0 5 28 15 46 
bin d 775 4096 0 0 5 28 15 8 /
boot d 775 4096 0 0 5 28 15 8 /
dev d 775 4096 0 0 5 28 15 8 /
etc d 775 4096 0 0 5 28 15 8 /
home d 775 4096 0 0 5 28 15 9 /
lib d 775 4096 0 0 5 28 15 9 /
media d 775 4096 0 0 5 28 15 9 /
mnt d 775 4096 0 0 5 28 15 9 /
opt d 775 4096 0 0 5 28 15 9 /
proc d 775 4096 0 0 5 28 15 9 /
root d 775 4096 0 0 5 28 15 9 /
run d 775 4096 0 0 5 28 15 9 /
sbin d 775 4096 0 0 5 28 15 9 /
srv d 775 4096 0 0 5 28 15 10 /
sys d 775 4096 0 0 5 28 15 10 /
tmp d 775 4096 0 0 5 28 15 10 /
usr d 775 4096 0 0 5 28 15 10 /
var d 775 4096 0 0 5 28 15 10 /
OSManager d 775 4096 1000 1000 5 28 15 10 /home
oh d 775 4096 1001 1001 5 28 15 10 /home
lim d 775 4096 1002 1002 5 28 12 11 /home
kim d 775 4096 1003 1003 5 28 18 24 /home
han d 775 4096 1004 1004 5 28 7 17 /home
